ID,Название книги,Автор книги,Год издания,Статус
1,Мастер и Маргарита,Михаил Булгаков,1929-1940,в наличии
2,Собачье сердце,Михаил Булгаков,1925,выдана
3,Двенадцать стульев,"Илья Ильф, Евгений Петров",1928,в наличии
4,Мёртвые души,Николай Гоголь,1842,в наличии
5,Граф Монте-Кристо,Александр Дюма,1844-1845,в наличии
6,Золотой теленок,"Илья Ильф, Евгений Петров",1931,в наличии
7,Три товарища,Эрих Мария Ремарк,1936,в наличии
8,Отверженные,Виктор Гюго,1862,в наличии
9,Евгений Онегин,Александр Пушкин,1825-1837,в наличии
10,Преступление и наказание,Федор Достоевский,1866,в наличии
11,Село Степанчиково и его обитатели,Федор Достоевский,1859,в наличии
12,Повести Белкина,Александр Пушкин,1831,в наличии
13,Война и мир,Лев Толстой,1865-1868,в наличии
14,Три мушкетера,Александр Дюма,1844,в наличии
15,Ревизор,Николай Гоголь,1836,в наличии
16,Собака Баскервилей,Артур Конан Дойль,1901-1902,в наличии
17,Отцы и дети,Иван Тургенев,1860-1861,в наличии
18,Палата № 6,Антон Чехов,1892,в наличии
19,Рудин,Иван Тургенев,1855,в наличии
20,Братья Карамазовы,Федор Достоевский,1879-1880,в наличии
21,Идиот,Федор Достоевский,1868-1869,в наличии
22,Приключения Шерлока Холмса,Артур Конан Дойль,1887-1927,в наличии
23,Дубровский,Александр Пушкин,"1833, 1842",в наличии
24,Горе от ума,Александр Грибоедов,1828,в наличии
25,Дворянское гнездо,Иван Тургенев,1859,в наличии
26,Униженные и оскорблённые,Федор Достоевский,1861,в наличии
27,Двадцать тысяч лье под водой,Жюль Верн,1869,в наличии
28,А зори здесь тихие,Борис Васильев,1969,в наличии
29,Воскресение,Лев Толстой,1899,в наличии
30,Триумфальная арка,Эрих Мария Ремарк,1945,в наличии
31,Драма на охоте,Антон Чехов,1884-1885,в наличии
32,Рассказы,Антон Чехов,1883-1885,в наличии
33,Подросток,Федор Достоевский,1875,в наличии
34,Капитанская дочка,Александр Пушкин,1836,в наличии
35,Старик и море,Эрнест Хемингуэй,1952,в наличии
36,Джейн Эйр,Шарлотта Бронте,1847,в наличии
37,Анна Каренина,Лев Толстой,1873-1877,в наличии
38,Дети капитана Гранта,Жюль Верн,1868,в наличии
39,"Виконт де Бражелон, или Десять лет спустя",Александр Дюма,1847-1850,в наличии
40,Двадцать лет спустя,Александр Дюма,1845,в наличии
41,Руслан и Людмила,Александр Пушкин,1820,в наличии
42,Робинзон Крузо,Даниель Дефо,1719,в наличии
43,Герой нашего времени,Михаил Лермонтов,1839-1840,в наличии
44,Бесы,Федор Достоевский,1870-1872,в наличии
45,Солярис,Станислав Лем,1961,в наличии
46,Семнадцать мгновений весны,Юлиан Семенов,1969,в наличии
47,Черный обелиск,Эрих Мария Ремарк,1956,в наличии
48,Графиня де Монсоро,Александр Дюма,1846,в наличии
49,Тихий Дон,Михаил Шолохов,1926-1940,в наличии
50,Белый Клык,Джек Лондон,1906,в наличии
51,Возвращение Шерлока Холмса,Артур Конан Дойль,1905,в наличии
52,Земля Санникова,Владимир Обручев,1924,в наличии
53,Обломов,Иван Гончаров,1848-1858,в наличии
54,Белая гвардия,Михаил Булгаков,1924,в наличии
55,Вишневый сад,Антон Чехов,1903,в наличии
56,Судьба человека,Михаил Шолохов,1957,в наличии
57,"Про Федота-стрельца, удалого молодца",Леонид Филатов,1985,в наличии
58,Алые паруса,Александр Грин,1916—1922,в наличии
59,Человек-амфибия,Александр Беляев,1928,в наличии
60,Детство. Отрочество. Юность,Лев Толстой,1852-1857,в наличии
61,Дядя Ваня,Антон Чехов,1896,в наличии
62,Два капитана,Вениамин Каверин,1938-1944,в наличии
63,1984,Джордж Оруэлл,1947-1948,в наличии
64,Пикник на обочине,Аркадий и Борис Стругацкие,1972,в наличии
65,Вечера на хуторе близ Диканьки,Николай Гоголь,1831-1832,в наличии
66,Республика ШКИД,"Григорий Белых, Л. Пантелеев",1926,в наличии
67,Сорок пять,Александр Дюма,1848,в наличии
68,Доктор Живаго,Борис Пастернак,1945-1955,в наличии
69,Борис Годунов,Александр Пушкин,1825,в наличии
70,Игрок,Федор Достоевский,1866,в наличии
71,Пиковая дама,Александр Пушкин,1834,в наличии
72,Пётр Первый,Алексей Толстой,1929-1945,в наличии
73,Записки юного врача,Михаил Булгаков,1925-1926,в наличии
74,Трудно быть богом,Аркадий и Борис Стругацкие,1963,в наличии
75,Медный всадник,Александр Пушкин,1833,в наличии
76,Бедные люди,Федор Достоевский,1845,в наличии
77,Хождение по мукам,Алексей Толстой,1922-1941,в наличии
78,Записки из Мёртвого дома,Федор Достоевский,1860-1861,в наличии
79,Чайка,Антон Чехов,1896,в наличии
80,Момент истины (В августе 44-го),Владимир Богомолов,1974,в наличии
81,Морфий,Михаил Булгаков,1926,в наличии
82,Бег,Михаил Булгаков,1926,в наличии
83,Волшебник Изумрудного города,Александр Волков,1939,в наличии
84,Иван Васильевич,Михаил Булгаков,1934—1936,в наличии
85,Живые и мертвые,Константин Симонов,1959-1971,в наличии
86,Тарас Бульба,Николай Гоголь,"1835, 1842",в наличии
87,Записки о Шерлоке Холмсе,Артур Конан Дойль,1894,в наличии
88,Таинственный остров,Жюль Верн,1874,в наличии
89,Три сестры,Антон Чехов,1900,в наличии
90,Записки охотника,Иван Тургенев,1852,в наличии
91,Бесприданница,Александр Островский,1878,в наличии
92,Понедельник начинается в субботу,Аркадий и Борис Стругацкие,1965,в наличии
93,Фауст,Иоганн Вольфганг фон Гёте,1774-1831,в наличии
94,Мартин Иден,Джек Лондон,1909,в наличии
95,Приключения Тома Сойера,Марк Твен,1876,в наличии
96,Белеет парус одинокий,Валентин Катаев,1936,в наличии
97,Хаджи-Мурат,Лев Толстой,1896-1904,в наличии
98,Похождения бравого солдата Швейка во время мировой войны,Ярослав Гашек,1921-1923,в наличии
99,Приключения Гекльберри Финна,Марк Твен,1884,в наличии
100,Обитаемый остров,Аркадий и Борис Стругацкие,1969,в наличии
101,Кавказский пленник,Лев Толстой,1872,в наличии
102,Сто лет одиночества,Габриэль Гарсиа Маркес,1967,в наличии
103,Шинель,Николай Гоголь,1842,в наличии
104,Собор Парижской Богоматери,Виктор Гюго,1831,в наличии
105,Пролетая над гнездом кукушки,Кен Кизи,1962,в наличии
106,Остров сокровищ,Роберт Льюис Стивенсон,1883,в наличии
107,Гиперболоид инженера Гарина,Алексей Толстой,1927,в наличии
108,Сердца трех,Джек Лондон,1920,в наличии
109,Лето Господне,Иван Шмелёв,1927—1948,в наличии
110,Вий,Николай Гоголь,1835,в наличии
111,Севастопольские рассказы,Лев Толстой,1855,в наличии
112,Алхимик,Пауло Коэльо,1988,в наличии
113,Записки из подполья,Федор Достоевский,1864,в наличии
114,Убийство в «Восточном экспрессе»,Агата Кристи,1934,в наличии
115,451 градус по Фаренгейту,Рэй Брэдбери,1953,в наличии
116,Гамлет,Уильям Шекспир,1601,в наличии
117,Казаки,Лев Толстой,1863,в наличии
118,Басни,Иван Крылов,1805-1844,в наличии
119,Утиная охота,Александр Вампилов,1970,в наличии
120,Крейцерова соната,Лев Толстой,1889,в наличии
121,На западном фронте без перемен,Эрих Мария Ремарк,1928-29,в наличии
122,Американская трагедия,Теодор Драйзер,1925,в наличии
123,Денискины рассказы,Виктор Драгунский,1959-1972,в наличии
124,По ком звонит колокол,Эрнест Хемингуэй,1940,в наличии
125,Великий Гэтсби,Фрэнсис Скотт Фицджеральд,1925,в наличии
126,Портрет Дориана Грея,Оскар Уайльд,1891,в наличии
127,Левша,Николай Лесков,1881,в наличии
128,Петербургские повести,Николай Гоголь,1832-1842,в наличии
129,Сказки,Ганс Христиан Андерсен,1839-1872,в наличии
130,На дне,Максим Горький,1901-1902,в наличии
131,Незнайка на Луне,Николай  Носов,1964-1965,в наличии
132,Отец Сергий,Лев Толстой,1911,в наличии
133,Маленький принц,Антуан де Сент-Экзюпери,1942,в наличии
134,Стихотворения,Сергей Есенин,1910-1925,в наличии
135,Белый Бим Черное Ухо,Гавриил Троепольский,1971,в наличии
136,Ромео и Джульетта,Уильям Шекспир,"1591-92(?), 1595(?)",в наличии
137,Театральный роман (Записки покойника),Михаил Булгаков,1929-1936,в наличии
138,Морской волк,Джек Лондон,1904,в наличии
139,Книга джунглей,Редьярд Киплинг,1894-1895,в наличии
140,Сказка о рыбаке и рыбке,Александр Пушкин,1833,в наличии
141,Голова профессора Доуэля,Александр Беляев,1925,в наличии
142,Путешествия Гулливера,Джонатан Свифт,1726,в наличии
143,Cтихотворения,Александр Пушкин,1809-1836,в наличии
144,Гранатовый браслет,Александр Куприн,1910,в наличии
145,Дама с собачкой,Антон Чехов,1899,в наличии
146,Гадкие лебеди,Аркадий и Борис Стругацкие,1967,в наличии
147,Рассказы,Василий Шукшин,1958-1974,в наличии
148,Смерть Ивана Ильича,Лев Толстой,1886,в наличии
149,Донские рассказы,Михаил Шолохов,1926,в наличии
150,Алиса в стране чудес,Льюис Кэрролл,1864,в наличии
151,Белые ночи,Федор Достоевский,1848,в наличии
152,Архиерей,Антон Чехов,1902,в наличии
153,Знак четырех,Артур Конан Дойль,1890,в наличии
154,Принц и нищий,Марк Твен,1880,в наличии
155,Непобедимый,Станислав Лем,1964,в наличии
156,Красное и чёрное,Стендаль,1830,в наличии
157,Ася,Иван Тургенев,1858,в наличии
